effectsize_measure,of_interest
Coefficient for Sexuality,not_relevant
Coefficient for LGBTQ,not_relevant
Coefficient for Intimacy,not_relevant
Coefficient for Home,not_relevant
Coefficient for Dissociate Identity,not_relevant
Coefficient for Health,not_relevant
Compression Force,not_relevant
Beta Coefficient,not_relevant
Matched rank biserial correlation,maybe
diff (s),not_relevant
diff,not_relevant
Cognitive Involvement,not_relevant
Emotional Involvement,not_relevant
Real-World Dissociation,not_relevant
Challenge,not_relevant
"F(58, 341)",not_relevant
H(7),not_relevant
Difference (ms),not_relevant
Difference (%),not_relevant
Meaningful differences,not_relevant
Difference (mm),not_relevant
CoV (spatial),not_relevant
CoV (temporal),not_relevant
"Endpoint Error (spatial, tangent axis)",not_relevant
"Endpoint Error (spatial, normal axis)",not_relevant
Endpoint Error (temporal),not_relevant
Success Rate Error (spatial),not_relevant
Success Rate Error (temporal),not_relevant
R² (spatial),yes
R² (temporal),yes
Standardized Coefficient (β),not_relevant
Median SRHI charging scores,not_relevant
β_home,not_relevant
β_work,not_relevant
β_public,not_relevant
Median percentage of miles driven on electricity,not_relevant
β (Reactiveness),not_relevant
β (Proactiveness),not_relevant
β (Utilization of HMI),not_relevant
β (Responsiveness),not_relevant
β (Amount of parameter modifications),not_relevant
β (Avg num of modified parameters),not_relevant
β (Number of spec changes),not_relevant
β (Number of alarm types),not_relevant
β (Job rotations - afternoon),not_relevant
β (Job rotations - morning),not_relevant
β (Working seasons - spring),not_relevant
Pearson correlation coefficient (Cycle Time and Trouble Recurrence Time),yes
Pearson correlation coefficient (Throughput and Trouble Alarm Recurrence Time),yes
Pearson correlation coefficient (Throughput and Cycle Time),yes
Truncation Rate,not_relevant
Word Error Rate (WER),not_relevant
Improved,not_relevant
Macro F1 Score,not_relevant
Ratio (Care/Harm),not_relevant
Ratio (Fairness/Cheating),not_relevant
Ratio (Loyalty/Betrayal),not_relevant
Ratio (Authority/Subversion),not_relevant
Ratio (Sanctity/Degradation),not_relevant
Score range (C_1),not_relevant
Moderately high,not_relevant
Balanced,not_relevant
Score range (C_2),not_relevant
Score range (C_3),not_relevant
Low,not_relevant
Score range (C_4),not_relevant
Score range (C_5),not_relevant
High,not_relevant
Score range (C_6),not_relevant
Varying,not_relevant
Mean (wrist-on),not_relevant
Mean (wrist-off),not_relevant
Mean (restricted),not_relevant
Mean (unrestricted),not_relevant
Mean (transcription),not_relevant
Mean (memorization),not_relevant
Mean (index),not_relevant
Mean (middle),not_relevant
Mean (ring),not_relevant
Mean (pinky),not_relevant
Mean (thumb),not_relevant
Mean (Participant 1),not_relevant
Mean (Participant 2),not_relevant
Mean (Participant 3),not_relevant
Mean (Participant 4),not_relevant
Mean (Participant 5),not_relevant
Mean (Participant 6),not_relevant
Mean (Participant 7),not_relevant
Mean (Participant 8),not_relevant
Mean (Participant 9),not_relevant
Mean (Participant 10),not_relevant
Mean (Participant 11),not_relevant
Mean (Participant 12),not_relevant
Mean (numeric row),not_relevant
Mean (top row),not_relevant
Mean (middle row),not_relevant
Mean (bottom row),not_relevant
Mean (space-bar row),not_relevant
Mean (column 1),not_relevant
Mean (column 2),not_relevant
Mean (column 3),not_relevant
Mean (column 4),not_relevant
Mean (column 5),not_relevant
Mean (column 6),not_relevant
Mean (column 7),not_relevant
Mean (column 8),not_relevant
Mean (column 9),not_relevant
Mean (non-uniform threshold),not_relevant
Mean (uniform-high threshold),not_relevant
Mean (dynamic threshold),not_relevant
Mean (uniform-low threshold),not_relevant
Mean (personalized threshold),not_relevant
Tukey pairwise comparison,not_relevant
Chi-Square statistic,not_relevant
χ²_F,not_relevant
Number of off-screen Glances,not_relevant
Physical Demand,not_relevant
SUS Count,not_relevant
SUS Mean,not_relevant
SSQ Total Score,not_relevant
NASA TLX (Mental Demand),not_relevant
NASA TLX (Temporal Demand),not_relevant
NASA TLX (Effort),not_relevant
NASA TLX (Overall Performance),not_relevant
NASA TLX (Other Subscores),not_relevant
Spearman's r,yes
Readability,not_relevant
Adequacy,not_relevant
Readability Improvement,not_relevant
Adequacy Improvement,not_relevant
Readability IAA,not_relevant
Accuracy IAA,not_relevant
Adequacy IAA,not_relevant
Control Score,not_relevant
Exp. Score,not_relevant
Score Diff.,not_relevant
Control Duration,not_relevant
Exp. Duration,not_relevant
Duration Diff.,not_relevant
Assortativity Coefficient,not_relevant
Standardized Mean Differences (SMD),not_relevant
ATE and RTE,not_relevant
Relative Treatment Effect (RTE),not_relevant
median (male),not_relevant
median (female),not_relevant
mean (10s),not_relevant
mean (20s),not_relevant
mean (30s),not_relevant
mean (40s),not_relevant
median (different genders),not_relevant
median (same gender),not_relevant
Mean (FB),not_relevant
Mean (FF),not_relevant
Mean (August 2022),not_relevant
Mean (August 2021),not_relevant
Mean (August 2020),not_relevant
Mean (August 2019),not_relevant
Mean (Passive phase),not_relevant
Mean (Active phase),not_relevant
Mean (Discovery phase),not_relevant
Mean SUS,not_relevant
SUS score (FF),not_relevant
SUS score (FB),not_relevant
Residential Zoning Percentage,not_relevant
Commercial Zoning Percentage,not_relevant
Manufacturing Zoning Percentage,not_relevant
Open Space Zoning Percentage,not_relevant
Other Zoning Percentage,not_relevant
Interstate Highway Miles,not_relevant
Rail Miles,not_relevant
Distance to TRI Sites,not_relevant
Mouse,not_relevant
Touchpad,not_relevant
D×W,not_relevant
D×Mouse,not_relevant
D×Touchpad,not_relevant
Nominal b,not_relevant
Effective b,not_relevant
\hat{b},not_relevant
Effective a,not_relevant
\hat{a} Effective,not_relevant
Nominal a,not_relevant
\hat{a} Nominal,not_relevant
Device (Mouse),not_relevant
Device (Touchpad),not_relevant
D×Device (Mouse),not_relevant
D×Device (Touchpad),not_relevant
IDe/ID,not_relevant
Device (Mouse/Controller),not_relevant
Device (Touchpad/Controller),not_relevant
IDe/ID × Device (Mouse/Controller),not_relevant
IDe/ID × Device (Touchpad/Controller),not_relevant
Correlation,check test
Intercept for Model 1,not_relevant
Intercept for Model 2,not_relevant
Intercept for Model 3,not_relevant
Age for Model 1,not_relevant
Age for Model 2,not_relevant
Age for Model 3,not_relevant
Gender (Female) for Model 1,not_relevant
Gender (Female) for Model 2,not_relevant
Gender (Female) for Model 3,not_relevant
"Role (Operator, Executive) for Model 1",not_relevant
Role (Others) for Model 1,not_relevant
"Role (Operator, Executive) for Model 2",not_relevant
"Role (Operator, Executive) for Model 3",not_relevant
Expected Frequency of Remote Work for Model 1,not_relevant
Expected Frequency of Remote Work for Model 2,not_relevant
Expected Frequency of Remote Work for Model 3,not_relevant
Strength of INs for Model 1,not_relevant
Strength of INs for Model 2,not_relevant
Strength of INs for Model 3,not_relevant
Willingness to Conform to INs for Model 1,not_relevant
Willingness to Conform to INs for Model 2,not_relevant
Willingness to Conform to INs for Model 3,not_relevant
Strength of DNs for Model 1,not_relevant
Strength of DNs for Model 2,not_relevant
Strength of DNs for Model 3,not_relevant
Willingness to Conform to DNs for Model 1,not_relevant
Willingness to Conform to DNs for Model 2,not_relevant
Willingness to Conform to DNs for Model 3,not_relevant
Rate Difference,not_relevant
Accuracy Rate,not_relevant
rank-biserial correlation,yes
Mean (Slide Gestalt),not_relevant
Mean (Build Slides),not_relevant
Mean (Topic Split Slides),not_relevant
Mean (Divider),not_relevant
RMSE (cogC),not_relevant
RMSE (emoC),not_relevant
RMSE (phyC),not_relevant
RMSE (DM),not_relevant
RMSE (Avg),not_relevant
MAE (cogC),not_relevant
MAE (emoC),not_relevant
MAE (phyC),not_relevant
MAE (DM),not_relevant
MAE (Avg),not_relevant
Acc2 −c (cogC),not_relevant
Acc2 −c (emoC),not_relevant
Acc2 −c (phyC),not_relevant
Acc2 −c (DM),not_relevant
Acc2 −c (noC),not_relevant
Acc2 −c (Avg),not_relevant
F12 −c (Avg),not_relevant
RMSE (A),not_relevant
MAE (A),not_relevant
Acc2 −c (A),not_relevant
F12 −c (A),not_relevant
RMSE (B),not_relevant
MAE (B),not_relevant
Acc2 −c (B),not_relevant
F12 −c (B),not_relevant
RMSE (C),not_relevant
MAE (C),not_relevant
Acc2 −c (C),not_relevant
F12 −c (C),not_relevant
η_g^2,yes
Md,not_relevant
Mean Opinion Difference,not_relevant
Effect Size (d),yes
Percentage of Intended Opinion,not_relevant
MT,not_relevant
v_peak,not_relevant
PTPV,not_relevant
PTPSE,not_relevant
d_PSE,check test
SPARC,not_relevant
Rank-biserial correlation,yes
Unstandardized Path Coefficient (B),not_relevant
Median ($\bar{\mu }$),not_relevant
Cumulative Odds Difference,not_relevant
Total Effect of Consent Method on Study Response Quality,not_relevant
Indirect Path via Participant-Researcher Power Relation,not_relevant
Path via Consent Form Reading,not_relevant
Mean diff.,not_relevant
KLD,not_relevant
MMD,not_relevant
Mean percentage (SD),not_relevant
Median seconds (SD),not_relevant
Odds Ratios,yes
Unstandardized Coefficient,not_relevant
R² of Intensity resp. Fear,yes
R² of Agency,yes
R² of Presence,yes
BIC,not_relevant
Growth Success,not_relevant
Dimensional Accuracy,not_relevant
Mean Selection Time,not_relevant
Rank-Biserial Correlation,yes
LDT,not_relevant
UDT,not_relevant
DT area,not_relevant
AUPRC,not_relevant
Balanced Accuracy,not_relevant
Notification Provision (β),not_relevant
Explanation Provision (β),not_relevant
Explanation Provision on Outcome Fairness (β),not_relevant
Explanation Provision on Retributive Justice (β),not_relevant
Explanation Provision on Procedural Justice (β),not_relevant
Explanation Provision on Restorative Justice (β),not_relevant
Explanation Provision on Problem Coping (β),not_relevant
Perceived Transparency on Problem Coping (β),not_relevant
Perceived Retributive Justice on Problem Coping (β),not_relevant
Perceived Retributive Justice on Positivity (β),not_relevant
Perceived Procedural Justice on Detachment (β),not_relevant
Perceived Procedural Justice on Positivity (β),not_relevant
Perceived Procedural Justice on Social Support (β),not_relevant
Perceived Restorative Justice on Problem Coping (β),not_relevant
Perceived Restorative Justice on Social Support (β),not_relevant
Perceived Restorative Justice on Detachment (β),not_relevant
Perceived Restorative Justice on Positivity (β),not_relevant
Cosine Similarity,not_relevant
Mean (with comparison),not_relevant
SD (with comparison),not_relevant
Mean (no comparison),not_relevant
SD (no comparison),not_relevant
Mean (declarative),not_relevant
SD (declarative),not_relevant
Mean (procedural),not_relevant
SD (procedural),not_relevant
t-value (locus of control),not_relevant
t-value (spatial ability),not_relevant
Mean (functional vision),not_relevant
SD (functional vision),not_relevant
Mean (without functional vision),not_relevant
SD (without functional vision),not_relevant
r^2 (age),yes
t-value (gender),not_relevant
Correlation between Decision-making and Emotional Factors,yes
Correlation between Decision-making and Cognitive Factors,yes
Degrees of Freedom (df),not_relevant
Success Rate Increase (Ambiguity),not_relevant
Success Rate Increase (Transparency),not_relevant
Success Rate Increase (Controllability),not_relevant
Perceived Error Rate Decrease (Ambiguity),not_relevant
Perceived Error Rate,not_relevant
Perceived Error Rate Increase (Transparency),not_relevant
Perceived Error Rate Decrease (Controllability),not_relevant
Breakpoints,not_relevant
Break Point,not_relevant
Comprehension,not_relevant
Extraneous Load,not_relevant
CR,not_relevant
AVE,not_relevant
"Mean (SD), Median",not_relevant
Proportion Identified (ESCAPE),not_relevant
Proportion Identified (Baseline),not_relevant
U-value,not_relevant
W-value,not_relevant
beta,not_relevant
Mean (DAPIE),not_relevant
Mean (Baseline),not_relevant
Mean Gaze Distraction (DAPIE),not_relevant
Mean Gaze Distraction (Baseline),not_relevant
Mean Verbal Comments (DAPIE),not_relevant
Mean Verbal Comments (Baseline),not_relevant
Mean Non-Verbal Comments (DAPIE),not_relevant
Mean Non-Verbal Comments (Baseline),not_relevant
Mean Interaction Time (DAPIE),not_relevant
Mean Interaction Time (Baseline),not_relevant
Mean Enjoyment (DAPIE),not_relevant
Mean Enjoyment (Baseline),not_relevant
Mean Trustworthiness (DAPIE),not_relevant
Mean Trustworthiness (Baseline),not_relevant
Mean (AO),not_relevant
Mean (MR),not_relevant
Mean (PT),not_relevant
Mean (PFJ),not_relevant
Pearson's r (MR),yes
Pearson's r (AO),yes
Stress (SS),not_relevant
Perceptual Distance (D),not_relevant
Mean Number of Features Changed,not_relevant
Number of Failures,not_relevant
Confusion Rate,not_relevant
Timeout Rate,not_relevant
Median Recognition Time,not_relevant
Reach Duration,not_relevant
Reach Accuracy,not_relevant
RMSD,not_relevant
Endpoint Error,not_relevant
Focal Offset Effects,not_relevant
Rate Ratio,not_relevant
"Probability of Superiority (descriptiveness, excluding instructional video)",yes
"Probability of Superiority (descriptiveness, including instructional video)",yes
"Probability of Superiority (objectiveness, automatic-feedback)",yes
Probability of Superiority (descriptiveness),yes
Probability of Superiority (sufficiency),yes
Probability of Superiority (Descriptive),yes
Probability of Superiority (Objective),yes
Probability of Superiority (Learning),yes
Probability of Superiority (Sufficient),yes
Probability of Superiority (Clarity),yes
Probability of Superiority (Succinct),yes
Probability of Superiority (Referable),yes
Probability of Superiority (Interest),yes
βA,not_relevant
partial eta^2,yes
ΔPOS,not_relevant
ΔTwin,not_relevant
ΔACC,not_relevant
ΔFPR,not_relevant
ΔFNR,not_relevant
ΔREL-POS,not_relevant
ΔREL-NEG,not_relevant
Mean Difference (MD),not_relevant
KMO value,not_relevant
β (beta),not_relevant
χ² (Chi-squared),not_relevant
N/A,not_relevant
z-value,not_relevant
Unknown,not_relevant
β (Deliberative: Fact-related arguments),not_relevant
β (Deliberative: Structured arguments),not_relevant
β (Deliberative: Unsupported statements),not_relevant
β (Civic: Collective rhetoric),not_relevant
β (Civic: Situational action),not_relevant
β (Civic: We vs. Them),not_relevant
β (Demagogic: We vs. Them),not_relevant
β (Demagogic: Emotional comments),not_relevant
β (Demagogic: Unsupported arguments),not_relevant
β (Demagogic: Who instead of what rhetoric),not_relevant
β (Demagogic & Civic),not_relevant
β (Civic & Deliberative),not_relevant
β (Demagogic & Deliberative),not_relevant
Change in Civic Discourse (Upvotes only),not_relevant
Change in Deliberative Discourse (Upvotes only),not_relevant
Change in Demagogic Discourse (Upvotes only),not_relevant
Change in Civic Discourse (No voting),not_relevant
Change in Deliberative Discourse (No voting),not_relevant
Change in Demagogic Discourse (No voting),not_relevant
Change in Civic Discourse (Immediate no voting),not_relevant
Change in Deliberative Discourse (Immediate no voting),not_relevant
Change in Demagogic Discourse (Immediate no voting),not_relevant
Grammar Correctness (LLM),not_relevant
Grammar Correctness (Template),not_relevant
Relevance (LLM),not_relevant
Relevance (Template),not_relevant
Coverage F1 (LLM),not_relevant
Coverage F1 (Template),not_relevant
BLEU-1 (0-shot LLM),not_relevant
BLEU-2 (0-shot LLM),not_relevant
BLEU-3 (0-shot LLM),not_relevant
BLEU-4 (0-shot LLM),not_relevant
CIDEr (0-shot LLM),not_relevant
ROUGE-L (0-shot LLM),not_relevant
METEOR (0-shot LLM),not_relevant
BLEU-1 (1-shot LLM),not_relevant
BLEU-2 (1-shot LLM),not_relevant
BLEU-3 (1-shot LLM),not_relevant
BLEU-4 (1-shot LLM),not_relevant
CIDEr (1-shot LLM),not_relevant
ROUGE-L (1-shot LLM),not_relevant
METEOR (1-shot LLM),not_relevant
BLEU-1 (2-shot LLM),not_relevant
BLEU-2 (2-shot LLM),not_relevant
BLEU-3 (2-shot LLM),not_relevant
BLEU-4 (2-shot LLM),not_relevant
CIDEr (2-shot LLM),not_relevant
ROUGE-L (2-shot LLM),not_relevant
METEOR (2-shot LLM),not_relevant
BLEU-1 (Screen2Words),not_relevant
BLEU-2 (Screen2Words),not_relevant
BLEU-3 (Screen2Words),not_relevant
BLEU-4 (Screen2Words),not_relevant
CIDEr (Screen2Words),not_relevant
ROUGE-L (Screen2Words),not_relevant
METEOR (Screen2Words),not_relevant
Exact Matches (0-shot LLM),not_relevant
Contains GT (0-shot LLM),not_relevant
Sub-String of GT (0-shot LLM),not_relevant
Micro-F1 (0-shot LLM),not_relevant
Exact Matches (1-shot LLM),not_relevant
Contains GT (1-shot LLM),not_relevant
Sub-String of GT (1-shot LLM),not_relevant
Micro-F1 (1-shot LLM),not_relevant
Exact Matches (2-shot LLM),not_relevant
Contains GT (2-shot LLM),not_relevant
Sub-String of GT (2-shot LLM),not_relevant
Micro-F1 (2-shot LLM),not_relevant
Exact Matches (DistilBERT),not_relevant
Contains GT (DistilBERT),not_relevant
Sub-String of GT (DistilBERT),not_relevant
Micro-F1 (DistilBERT),not_relevant
Partial (0-shot LLM),not_relevant
Complete (0-shot LLM),not_relevant
"Partial (1-shot LLM, cross-app)",not_relevant
"Complete (1-shot LLM, cross-app)",not_relevant
"Partial (2-shot LLM, cross-app)",not_relevant
"Complete (2-shot LLM, cross-app)",not_relevant
"Partial (1-shot LLM, in-app)",not_relevant
"Complete (1-shot LLM, in-app)",not_relevant
"Partial (2-shot LLM, in-app)",not_relevant
"Complete (2-shot LLM, in-app)",not_relevant
Partial (Seq2Act),not_relevant
Complete (Seq2Act),not_relevant
Mean (full autonomy),not_relevant
Mean (partial autonomy),not_relevant
Mean (partially automated car),not_relevant
Mean (partially automated cane),not_relevant
Mean (fully automated guiding cane),not_relevant
Mean (car),not_relevant
Mean (cane),not_relevant
Mean (car-form robot),not_relevant
Mean (cane-form robot),not_relevant
Mean (full autonomy car form robot),not_relevant
Mean (full autonomy cane robot),not_relevant
Mean (fully automated robotic car),not_relevant
Mean (partially automated robotic cane),not_relevant
Mean (partial autonomy guiding car),not_relevant
Mean (partial autonomy cane),not_relevant
Mean (fully automated cane),not_relevant
Mean (full autonomy guiding robots),not_relevant
Mean (partial autonomy guiding robots),not_relevant
Mean (car form),not_relevant
Mean (cane form),not_relevant
Mean (full autonomy car),not_relevant
Mean (partial autonomy car),not_relevant
Mean (full autonomy cane),not_relevant
Mean (Partial Autonomy Cane),not_relevant
Mean (Partial Autonomy Car),not_relevant
Mean (Full Autonomy Cane),not_relevant
Mean (Full Autonomy Car),not_relevant
f^2 (Condition),check test
f^2 (Time),check test
f^2 (Interaction),check test
r (Reading Performance),yes
r (Reading Speed),yes
"r (Reading Speed, Max Motion Sickness)",yes
"r (Reading Performance, SSQ)",yes
"r (Reading Speed, SSQ)",yes
"r (Spatial Presence, Average Motion Sickness)",yes
"r (Spatial Presence, Max Motion Sickness)",yes
"r (Spatial Presence, SSQ)",yes
"r (Spatial Presence, Oculomotor)",yes
"r (Spatial Presence, Disorientation)",yes
"r (IPQ Total, Average Motion Sickness)",yes
"r (IPQ Total, Max Motion Sickness)",yes
"r (Involvement, Average Motion Sickness)",yes
r (Realism),yes
Comparative Fit Index (CFI),not_relevant
Tucker-Lewis Index (TLI),not_relevant
β for Emotional Resonance,not_relevant
β for Expression Length,not_relevant
β for Perceived Autonomy,not_relevant
β for Perceived Competence,not_relevant
β for Perceived Usefulness,not_relevant
β for Total Negative Effect on Perceived Usefulness,not_relevant
β for Total Effect on Perceived Ease of Use,not_relevant
β for Total Effect of Music Rating on Perceived Ease of Use,not_relevant
β for Indirect Effect through Perceived Autonomy,not_relevant
Mean (SD) for High PG * None,not_relevant
Mean (SD) for High PG * MC,not_relevant
Mean (SD) for Low PG * None,not_relevant
Mean (SD) for Low PG * MC,not_relevant
τk,yes
Cumulative Reward,not_relevant
Hindsight Satisfaction,not_relevant
Preference Towards Autonomy,not_relevant
Reading Memory,not_relevant
Rating Memory,not_relevant
β_Algo,not_relevant
ω_Algo,no
β (Navigation),not_relevant
β (Ads and Pop-ups),not_relevant
β (Amount),not_relevant
β (Search),not_relevant
β (Perceived seriousness score),not_relevant
Kaiser-Meyer-Olkin (KMO) Measure of Sampling Adequacy,not_relevant
Bartlett's Test of Sphericity,not_relevant
Standardised Root Mean Square Residual (SRMR),not_relevant
Chi-squared test,not_relevant
Root Mean Squared Error of Approximation (RMSEA),not_relevant
Intra-Class Correlation (ICC) for RiCE's factors,not_relevant
Total RiCE ICCs,not_relevant
RiCE-Ex Scores,not_relevant
RiCE-Se Scores,not_relevant
Weak positive correlation between RiCE's total score and SRIS's total score (Story-Sentiment-Visualiser),check test
Moderate positive correlation between RiCE's total score and CSI's total score (Story-Sentiment-Visualiser),check test
Weak positive correlation between RiCE's total score and SRIS's total score (Sound-Sketcher),check test
Moderate positive correlation between RiCE's total score and CSI's total score (Sound-Sketcher),check test
η²(H),maybe
X²,not_relevant
Not significant,not_relevant
Regression coefficient,not_relevant
Median Difference,not_relevant
Consistency Percentage,not_relevant
T-Stat,not_relevant
Bayes factor,not_relevant
f^2,check test
CMIN/DF,not_relevant
completing impact,not_relevant
total effect,check test
effect,check test
Standardized coefficient,not_relevant
M±SD,not_relevant
Coefficient C0,not_relevant
Coefficient C∞,not_relevant
Kendall's Tau-b,yes
Average Absolute Deviation,not_relevant
Average Absolute Error (AAE),not_relevant
Average Deviation,not_relevant
Prediction Performance,not_relevant
Jaccard Index,not_relevant
Standardized β,not_relevant
mean (AVscript),not_relevant
mean (own tools),not_relevant
standard deviation (AVscript),not_relevant
standard deviation (own tools),not_relevant
SSIM,not_relevant
PSNR,not_relevant
Detection Accuracy,not_relevant
Rotation MAE,not_relevant
Time to Detection (ms),not_relevant
Detection Attempts (frames),not_relevant
U1,not_relevant
U2,not_relevant
U3,not_relevant
Mean Usefulness (Text-only),not_relevant
Mean Transparency (Text-only),not_relevant
Mean Usefulness (Text + Visual),not_relevant
Mean Transparency (Text + Visual),not_relevant
U (Usefulness),not_relevant
U (Transparency),not_relevant
U2 (Usefulness),not_relevant
U6 (Usefulness),not_relevant
U2 (Transparency),not_relevant
U6 (Transparency),not_relevant
U5 (Usefulness),not_relevant
U5 (Transparency),not_relevant
U7 (Usefulness),not_relevant
U8 (Usefulness),not_relevant
U11 (Usefulness),not_relevant
U12 (Usefulness),not_relevant
U7 (Transparency),not_relevant
U8 (Transparency),not_relevant
U11 (Transparency),not_relevant
U12 (Transparency),not_relevant
Time/Second (Gephi),not_relevant
Mouse Click (Gephi),not_relevant
Time/Second (GVQA),not_relevant
Mouse Click (GVQA),not_relevant
Intercept (α),not_relevant
Slope (β),not_relevant
Integrated Absolute Error (IAE),not_relevant
Total Expected Rewards,not_relevant
Probability & reward (Using expected values),not_relevant
Probability & reward (A tradeoff between probability and reward),not_relevant
Probability & reward (Unspecified strategy using probability and reward),not_relevant
Probability (Using win probability),not_relevant
Reward (Choosing the highest reward),not_relevant
Neither (Choosing the coin flip),not_relevant
Neither (Choosing at random),not_relevant
b (Quantity of ADLs),not_relevant
b (Perceived Quality of Caregiving Help),not_relevant
b (Internet Skills),not_relevant
b (Privacy Concerns),not_relevant
b (Frequency of Using Caregiving Help),not_relevant
β (contour),not_relevant
β (heatmap),not_relevant
β (binary mask),not_relevant
"β (binary mask, IoU)",not_relevant
"β (contour, IoU)",not_relevant
"β (binary mask, entropy)",not_relevant
"β (contour, entropy)",not_relevant
Partial Eta Squared ($\eta_{p}^{2}$),yes
Percentage Points Increase,not_relevant
χ^2,not_relevant
CC score,not_relevant
Hit rate,not_relevant
False alarm rate,not_relevant
Average Pointing Error,not_relevant
NASA-TLX,not_relevant
Mean NASA-TLX,not_relevant
d',check test
c,not_relevant
Score Difference,not_relevant
Time Difference,not_relevant
Correlation (r),yes
Correlation (r) with OE,yes
Correlation (r) with RSE,yes
Correlation (r) with LOT-R,yes
Standardized Regression Coefficient (β) for Age,not_relevant
Standardized Regression Coefficient (β) for Male Gender,not_relevant
"Discriminant Limit (ρlimit, OE)",not_relevant
Discriminant Difference (rdiff),not_relevant
"Discriminant Limit (ρlimit, RSE)",not_relevant
"Discriminant Limit (ρlimit, LOT-R)",not_relevant
β (TikTok),not_relevant
β (YouTube),not_relevant
RSE (TikTok),not_relevant
RSE (YouTube),not_relevant
RSE,not_relevant
β (Instagram),not_relevant
β (Snapchat),not_relevant
RSE (Instagram),not_relevant
RSE (Snapchat),not_relevant
β (Critical Reflection),not_relevant
RSE (Critical Reflection),not_relevant
β (Critical Motivation),not_relevant
RSE (Critical Motivation),not_relevant
β (Critical Action),not_relevant
RSE (Critical Action),not_relevant
External Attribution,not_relevant
Mean Before (M),not_relevant
Mean After (M),not_relevant
χ²ₛ,not_relevant
Zₖ,not_relevant
Loading Score,not_relevant
mean number of zone mismatches,not_relevant
mean average walking distance (km),not_relevant
mean SD of walking distance (km),not_relevant
mean completion time (min),not_relevant
mean number of distance analysis triggered,not_relevant
mean task difficulty rating,not_relevant
mean task effort rating,not_relevant
Correctness Rate,not_relevant
Median Accuracy,not_relevant
B (Coefficient of age group being 55+),not_relevant
B (Coefficient of age group being 55+ after standardizing dependent variable),not_relevant
df,not_relevant
BF_{01},not_relevant
Generalized eta squared (η_G^2),yes
Partial eta squared (η^2_p),yes
Generalized eta squared (η^2_G),yes
Mean Absolute Error (MAE),not_relevant
τ (tau),yes
Yes,not_relevant
No,not_relevant
Interquartile Range (IQR),not_relevant
Precision (PPV),not_relevant
Recall (TPR),not_relevant
Response Time (RT) Median,not_relevant
Response Time (RT) IQR,not_relevant
Equivalence Rate,not_relevant
ηP²,yes
Face Focus,not_relevant
Politeness,not_relevant
Naturalness,not_relevant
RTLX,not_relevant
Task Duration,not_relevant
Task Accuracy,not_relevant
Relaxation,not_relevant
MATS,not_relevant
generalized η² (ges),yes
Mean (Charagraph),not_relevant
SD (Charagraph),not_relevant
SD (Baseline),not_relevant
Median (Charagraph),not_relevant
Median (Baseline),not_relevant
Weber Fraction (W),not_relevant
Threshold,not_relevant
standardized effect size,not_relevant
AUC-Judd,not_relevant
NSS,not_relevant
IG,not_relevant
SIM,not_relevant
CC,not_relevant
KL,not_relevant
DTW,not_relevant
TDE,not_relevant
Eyenalysis,not_relevant
REC,not_relevant
DET,not_relevant
CORM,not_relevant
FID,not_relevant
Mean (Human),not_relevant
Mean (StyleMe),not_relevant
top-1 accuracy,not_relevant
top-3 accuracy,not_relevant
F offset (cm),not_relevant
J offset (cm),not_relevant
β (creation stage is WIP),not_relevant
β (actionability),not_relevant
β (justification),not_relevant
β (specificity),not_relevant
β (valence),not_relevant
β (delay),not_relevant
β (creation stage is WIP * specificity),not_relevant
β (creation stage is WIP * valence),not_relevant
β (creation stage is WIP * delay),not_relevant
β (creation stage is WIP * actionability),not_relevant
Mental Demand,not_relevant
Temporal Demand,not_relevant
Performance,not_relevant
Frustration,not_relevant
Stress,not_relevant
Helpfulness,not_relevant
No Indicator,not_relevant
Is Typing,not_relevant
Masked Typing,not_relevant
Live Typing,not_relevant
Spearman Rho (ρ),not_relevant
β (Reencountered),not_relevant
β (Specter),not_relevant
β (Global),not_relevant
β (Linear),not_relevant
Mean (Papers Opened),not_relevant
Mean (Papers Saved),not_relevant
Mean (Reencountered Citations),not_relevant
Mean (Papers Saved from Reencountered Citations),not_relevant
Mean (Paper Opens),not_relevant
SD (Paper Opens),not_relevant
Mean (Card Opens),not_relevant
SD (Card Opens),not_relevant
Mean (FamiliarCite),not_relevant
SD (FamiliarCite),not_relevant
Mean (RencontrdCite),not_relevant
SD (RencontrdCite),not_relevant
Mean (NoAgmntation),not_relevant
SD (NoAgmntation),not_relevant
Mean (Paper Saves),not_relevant
SD (Paper Saves),not_relevant
Mean (FamiliarCite - Paper Saves),not_relevant
SD (FamiliarCite - Paper Saves),not_relevant
Mean (RencontrdCite - Paper Saves),not_relevant
SD (RencontrdCite - Paper Saves),not_relevant
Mean (NoAgmntation - Paper Saves),not_relevant
SD (NoAgmntation - Paper Saves),not_relevant
Mean (Search/External - Paper Saves),not_relevant
SD (Search/External - Paper Saves),not_relevant
ρ (rho),yes
Adjusted R-squared,yes
Mean (Sighted),not_relevant
Mean (BVI),not_relevant
Std.Dev,not_relevant
Mean Performance (F1 Score),not_relevant
Diff%,not_relevant
Pr.,not_relevant
Rc.,not_relevant
Cite sources,not_relevant
Establish credibility of sources,not_relevant
Triangulate multiple sources,not_relevant
Statistical evidence,not_relevant
Testimonial evidence,not_relevant
Documented evidence,not_relevant
Anecdotal evidence,not_relevant
Analogical evidence,not_relevant
Evidence vetting,not_relevant
Assertive confidence,not_relevant
