"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"Mean Breathing Rate",NA,NA,"not_relevant"
"Time on Target",NA,NA,"not_relevant"
"SDNN",NA,NA,"not_relevant"
"Breathing Rate",NA,NA,"not_relevant"
"Cohen's Kappa",NA,NA,"not_relevant"
"Average rating for ""easy to learn""",NA,NA,"not_relevant"
"Average rating for ""easy to understand""",NA,NA,"not_relevant"
"Average rating for ""easy to use""",NA,NA,"not_relevant"
"Average rating for ""efficient creation""",NA,NA,"not_relevant"
"Average rating for ""enjoyment""",NA,NA,"not_relevant"
"U value",NA,NA,"not_relevant"
"Pearson Correlation","pearsons_r","","yes"
"ICC",NA,NA,"not_relevant"
"Norm. Brier",NA,NA,"not_relevant"
"Avg. Absolute Error",NA,NA,"not_relevant"
"sr",NA,NA,"not_relevant"
"Percentage of time spent working together",NA,NA,"not_relevant"
"Proportion of dangerous flashes",NA,NA,"not_relevant"
"Proportion of repeated patterns",NA,NA,"not_relevant"
"Proportion of red transitions",NA,NA,"not_relevant"
"Miss-rate",NA,NA,"not_relevant"
"Safe (PhotosensitivityPal)",NA,NA,"not_relevant"
"Dangerous (PhotosensitivityPal)",NA,NA,"not_relevant"
"No response (PhotosensitivityPal)",NA,NA,"not_relevant"
"Safe (PEAT)",NA,NA,"not_relevant"
"Dangerous (PEAT)",NA,NA,"not_relevant"
"No response (PEAT)",NA,NA,"not_relevant"
"F value",NA,NA,"not_relevant"
"μ (average rate of increase)",NA,NA,"not_relevant"
"Z-value",NA,NA,"not_relevant"
"Value",NA,NA,"not_relevant"
"Mean Diff",NA,NA,"not_relevant"
"Mean r",NA,NA,"not_relevant"
"Task Completion Time (μ)",NA,NA,"not_relevant"
"Task Completion Time (σ)",NA,NA,"not_relevant"
"RMS Deviation (μ)",NA,NA,"not_relevant"
"RMS Deviation (σ)",NA,NA,"not_relevant"
"SUS Rating (μ)",NA,NA,"not_relevant"
"SUS Rating (σ)",NA,NA,"not_relevant"
"Task Completion Time (Mean)",NA,NA,"not_relevant"
"Task Completion Time (P-Value)",NA,NA,"not_relevant"
"RMS Error (Mean)",NA,NA,"not_relevant"
"RMS Error (P-Value)",NA,NA,"not_relevant"
"SUS Score (Mean)",NA,NA,"not_relevant"
"SUS Score (P-Value)",NA,NA,"not_relevant"
"Task Completion Time",NA,NA,"not_relevant"
"RMS Deviation",NA,NA,"not_relevant"
"Consistency",NA,NA,"not_relevant"
"Paired Mean Difference",NA,NA,"not_relevant"
"Divergence from Predispositions",NA,NA,"not_relevant"
"Conformity to Pre-Existing Majority",NA,NA,"not_relevant"
"Accuracy of Answering Manipulation Check",NA,NA,"not_relevant"
"Mean Consistency",NA,NA,"not_relevant"
"95% Confidence Interval",NA,NA,"not_relevant"
"Balance",NA,NA,"not_relevant"
"Range",NA,NA,"not_relevant"
"Mean (μ)",NA,NA,"not_relevant"
"Standard Deviation (σ)",NA,NA,"not_relevant"
"Kendall's tau","kendalls_tau","","yes"
"F-Value",NA,NA,"not_relevant"
"Interaction Effect F-Value",NA,NA,"not_relevant"
"Wald χ2",NA,NA,"not_relevant"
"Error",NA,NA,"not_relevant"
"Time",NA,NA,"not_relevant"
"Subjective User Rank",NA,NA,"not_relevant"
"Factor Loadings",NA,NA,"not_relevant"
"Embedding-based metrics",NA,NA,"not_relevant"
"Aggregate-judge correlations",NA,NA,"not_relevant"
"CFI",NA,NA,"not_relevant"
"TLI",NA,NA,"not_relevant"
"RMSEA",NA,NA,"not_relevant"
"Kaiser-Meyer-Olkin Measure of Sampling Adequacy (MSA)",NA,NA,"not_relevant"
"Cronbach's Alpha for F1",NA,NA,"not_relevant"
"Cronbach's Alpha for F2",NA,NA,"not_relevant"
"Cronbach's Alpha for F3",NA,NA,"not_relevant"
"Cronbach's Alpha for F4",NA,NA,"not_relevant"
"Cronbach's Alpha for F5",NA,NA,"not_relevant"
"Cronbach's Alpha for F6",NA,NA,"not_relevant"
"Factor Loading (F1)",NA,NA,"not_relevant"
"Communality (h2)",NA,NA,"not_relevant"
"Uniqueness (u2)",NA,NA,"not_relevant"
"Factor Loading (F2)",NA,NA,"not_relevant"
"Factor Loading (F3)",NA,NA,"not_relevant"
"Factor Loading (F4)",NA,NA,"not_relevant"
"Factor Loading (F5)",NA,NA,"not_relevant"
"Factor Loading (F6)",NA,NA,"not_relevant"
"rho","spearmans_rho","","yes"
"Mean Words Per Minute (WPM)",NA,NA,"not_relevant"
"Mean Command Input Time (seconds)",NA,NA,"not_relevant"
"Mean Command Input Error Rate (%)",NA,NA,"not_relevant"
"Mean Word Error Rate (%)",NA,NA,"not_relevant"
"Input Speed (WPM)",NA,NA,"not_relevant"
"Character Error Rate (%)",NA,NA,"not_relevant"
"Partial η² (η²_p)","eta_squared","partial","yes"
"Normalized Coefficient",NA,NA,"not_relevant"
"Cohen's κ",NA,NA,"not_relevant"
"A",NA,NA,"not_relevant"
"Cohen's drm","cohens_d","repeated_measures","yes"
"Percentage Agree + Strongly Agree",NA,NA,"not_relevant"
"Percentage Agree + Strongly Agree (excluding No Opinion)",NA,NA,"not_relevant"
"Mean difference in unique issues found",NA,NA,"not_relevant"
"Mean (Prediction)",NA,NA,"not_relevant"
"Mean (Standard)",NA,NA,"not_relevant"
"Mismatch Frequency (Prediction)",NA,NA,"not_relevant"
"Mismatch Frequency (Standard)",NA,NA,"not_relevant"
"Hypotheses Frequency (Prediction)",NA,NA,"not_relevant"
"Hypotheses Frequency (Standard)",NA,NA,"not_relevant"
"Post-Data Hypotheses Frequency (Prediction)",NA,NA,"not_relevant"
"Post-Data Hypotheses Frequency (Standard)",NA,NA,"not_relevant"
"Goal Frequency (Prediction)",NA,NA,"not_relevant"
"Goal Frequency (Standard)",NA,NA,"not_relevant"
"Observation Frequency (Prediction)",NA,NA,"not_relevant"
"Observation Frequency (Standard)",NA,NA,"not_relevant"
"Reasoning Frequency (Prediction)",NA,NA,"not_relevant"
"Reasoning Frequency (Standard)",NA,NA,"not_relevant"
"Belief Updates Frequency (Prediction)",NA,NA,"not_relevant"
"Belief Updates Frequency (Standard)",NA,NA,"not_relevant"
"Surprises Frequency (Prediction)",NA,NA,"not_relevant"
"Surprises Frequency (Standard)",NA,NA,"not_relevant"
"Average Number of Views (Prediction)",NA,NA,"not_relevant"
"Average Number of Views (Standard)",NA,NA,"not_relevant"
"Brushing-and-Linking Frequency (Prediction)",NA,NA,"not_relevant"
"Brushing-and-Linking Frequency (Standard)",NA,NA,"not_relevant"
"Average Time Spent (Prediction)",NA,NA,"not_relevant"
"Average Time Spent (Standard)",NA,NA,"not_relevant"
"Mean ranks S-type",NA,NA,"not_relevant"
"Mean ranks E-type",NA,NA,"not_relevant"
"rho coefficient","spearmans_rho","","yes"
"Minimum Nodes",NA,NA,"not_relevant"
"Maximum Nodes",NA,NA,"not_relevant"
"Average Nodes",NA,NA,"not_relevant"
"Std Deviation Nodes",NA,NA,"not_relevant"
"Minimum Saccades",NA,NA,"not_relevant"
"Maximum Saccades",NA,NA,"not_relevant"
"Average Saccades",NA,NA,"not_relevant"
"Std Deviation Saccades",NA,NA,"not_relevant"
"FAWU",NA,NA,"not_relevant"
"Mean Activation Time",NA,NA,"not_relevant"
"Lower Effort",NA,NA,"not_relevant"
"Easier to Use",NA,NA,"not_relevant"
"More Privacy Activation",NA,NA,"not_relevant"
"Lower Mental Demand",NA,NA,"not_relevant"
"Lower Temporal Demand",NA,NA,"not_relevant"
"More Overall Performance",NA,NA,"not_relevant"
"Broader Applications",NA,NA,"not_relevant"
"More Want to Use Activation",NA,NA,"not_relevant"
"Broader Applications Activation",NA,NA,"not_relevant"
"Lower Frustration",NA,NA,"not_relevant"
"Easier to Continuous Input",NA,NA,"not_relevant"
"Preference",NA,NA,"not_relevant"
"Prediction Accuracy (%)",NA,NA,"not_relevant"
"Eta-squared","eta_squared","","yes"
"Non-standardized regression weights (b)",NA,NA,"not_relevant"
"B (Clarity)",NA,NA,"not_relevant"
"B (Completeness)",NA,NA,"not_relevant"
"B (Consistency)",NA,NA,"not_relevant"
"B (Credibility)",NA,NA,"not_relevant"
"B (Empathy)",NA,NA,"not_relevant"
"Z (Agreeableness)",NA,NA,"not_relevant"
"Z (Conscientiousness)",NA,NA,"not_relevant"
"Z (Emotional Stability)",NA,NA,"not_relevant"
"Z (Conscientiousness with RP style)",NA,NA,"not_relevant"
"Z (Extraversion with RC style)",NA,NA,"not_relevant"
"B (Agreeableness)",NA,NA,"not_relevant"
"B (Emotional Stability)",NA,NA,"not_relevant"
"B (Openness)",NA,NA,"not_relevant"
"B (Extraversion)",NA,NA,"not_relevant"
"B (Conscientiousness)",NA,NA,"not_relevant"
"B (Confidence in Assessing Personality)",NA,NA,"not_relevant"
"M (Clarity)",NA,NA,"not_relevant"
"M (Completeness)",NA,NA,"not_relevant"
"M (Consistency)",NA,NA,"not_relevant"
"M (Credibility)",NA,NA,"not_relevant"
"M (Empathy)",NA,NA,"not_relevant"
"M (Completeness with RP style)",NA,NA,"not_relevant"
"M (Credibility with RP style)",NA,NA,"not_relevant"
"M (Empathy with RP style)",NA,NA,"not_relevant"
"M (Clarity with RP style)",NA,NA,"not_relevant"
"M (Consistency with RP style)",NA,NA,"not_relevant"
"Mean Difference (μΔ)",NA,NA,"not_relevant"
"Train Accuracy",NA,NA,"not_relevant"
"Test Accuracy",NA,NA,"not_relevant"
"Mean Difference (ScholarPhi vs Declutter)",NA,NA,"not_relevant"
"Mean Difference (Declutter vs Basic)",NA,NA,"not_relevant"
"Mean Difference (ScholarPhi vs Basic)",NA,NA,"not_relevant"
"Complexity (Cop)",NA,NA,"not_relevant"
"Accuracy (Acc)",NA,NA,"not_relevant"
"Subjective Satisfaction Scores",NA,NA,"not_relevant"
"Information Richness Effect on Relative Allocation",NA,NA,"not_relevant"
"Information Richness Effect on Single-Story Allocation",NA,NA,"not_relevant"
"Information Richness Effect on Comparative Allocation",NA,NA,"not_relevant"
"Effect of Anonymization",NA,NA,"not_relevant"
"Affective Response (Valence and Arousal)",NA,NA,"not_relevant"
"Top-1 Accuracy",NA,NA,"not_relevant"
"Top 0.01% Accuracy",NA,NA,"not_relevant"
"Top 0.1% Accuracy",NA,NA,"not_relevant"
"Top 1% Accuracy",NA,NA,"not_relevant"
"Top 5% Accuracy",NA,NA,"not_relevant"
"Top 10% Accuracy",NA,NA,"not_relevant"
"Normalized RMSE",NA,NA,"not_relevant"
"β_std",NA,NA,"not_relevant"
"exp(β_std)",NA,NA,"not_relevant"
"\hat{\eta}^2_G","eta_squared","generalized","yes"
"β (Elbow-plane)",NA,NA,"not_relevant"
"β (Elbow-sphere)",NA,NA,"not_relevant"
"β (SHOULDER-PLANE)",NA,NA,"not_relevant"
"β (ELBOW-SPHERE)",NA,NA,"not_relevant"
"kappa",NA,NA,"not_relevant"
"coe",NA,NA,"not_relevant"
"DCI",NA,NA,"not_relevant"
"MIG",NA,NA,"not_relevant"
"Completion Rate",NA,NA,"not_relevant"
"Difficulty",NA,NA,"not_relevant"
"Error AUC",NA,NA,"not_relevant"
"Sum of Squares",NA,NA,"not_relevant"
"Mean (Suggestion)",NA,NA,"not_relevant"
"Mean (Praise)",NA,NA,"not_relevant"
"Mean (Self-Monitoring)",NA,NA,"not_relevant"
"Mean (Reminder)",NA,NA,"not_relevant"
"Mean (Social Role)",NA,NA,"not_relevant"
"Z for Stress Level and Task Initiation",NA,NA,"not_relevant"
"t for Energy Level and Time Spent",NA,NA,"not_relevant"
"t for Energy Level and Number of Actions",NA,NA,"not_relevant"
"t for Stress Level and Number of Actions",NA,NA,"not_relevant"
"t for Stress Level and Time Spent",NA,NA,"not_relevant"
"t for Proactiveness and Number of Actions",NA,NA,"not_relevant"
"t for Proactiveness and Time Spent",NA,NA,"not_relevant"
"Z for Attention Required by Ongoing Activity",NA,NA,"not_relevant"
"Z for Perceived Mental Effort for Succeeding Activities",NA,NA,"not_relevant"
"t for NONE vs. SUCCEED",NA,NA,"not_relevant"
"t for NONE vs. PRECEDED",NA,NA,"not_relevant"
"t for NONE vs. BETWEEN",NA,NA,"not_relevant"
"t for NONE vs. WITHIN",NA,NA,"not_relevant"
"Standardized Beta",NA,NA,"not_relevant"
"Precision (on-table tasks)",NA,NA,"not_relevant"
"Precision (in-hand tasks)",NA,NA,"not_relevant"
"Recall (on-table tasks)",NA,NA,"not_relevant"
"Recall (in-hand tasks)",NA,NA,"not_relevant"
"Precision (out of camera sight task)",NA,NA,"not_relevant"
"Precision (leaving away and back task)",NA,NA,"not_relevant"
"Recall (leaving away and back task)",NA,NA,"not_relevant"
"Mean Access Time (PanoTrack enabled)",NA,NA,"not_relevant"
"Mean Access Time (traditional face authentication)",NA,NA,"not_relevant"
"Median Temporal Demand (Auth+Track)",NA,NA,"not_relevant"
"Median Temporal Demand (traditional face authentication)",NA,NA,"not_relevant"
"Median Performance (Auth+Track)",NA,NA,"not_relevant"
"Median Performance (traditional face authentication)",NA,NA,"not_relevant"
"Median Willingness to Use (Auth+Track)",NA,NA,"not_relevant"
"Median Willingness to Use (traditional face authentication)",NA,NA,"not_relevant"
"Lambda (λ)",NA,NA,"not_relevant"
"Concordance Statistic (c)",NA,NA,"not_relevant"
"Mean Gain",NA,NA,"not_relevant"
"Unstandardized Regression Coefficient (B)",NA,NA,"not_relevant"
"H-value",NA,NA,"not_relevant"
"Mean usability rating (VoiceOver)",NA,NA,"not_relevant"
"Mean usability rating (Screen Recognition)",NA,NA,"not_relevant"
"Difference in affective wellbeing per 10-point increment in technology satisfaction",NA,NA,"not_relevant"
"Difference in connectedness to others per 10-point increment in technology satisfaction",NA,NA,"not_relevant"
"Difference in affective wellbeing per total time spent with technology",NA,NA,"not_relevant"
"Difference in affective wellbeing per total time spent on social media",NA,NA,"not_relevant"
"Exp(B)",NA,NA,"not_relevant"
"Tucker Lewis Index (TLI)",NA,NA,"not_relevant"
"Mean (M) Modified",NA,NA,"not_relevant"
"Standard Deviation (SD) Modified",NA,NA,"not_relevant"
"Mean (M) Standard",NA,NA,"not_relevant"
"Standard Deviation (SD) Standard",NA,NA,"not_relevant"
"Intra Class Correlation Coefficient (κ)",NA,NA,"not_relevant"
"Hazard Ratio",NA,NA,"not_relevant"
"Agreement Score (A)",NA,NA,"not_relevant"
"Ease Ratings",NA,NA,"not_relevant"
"Match Ratings",NA,NA,"not_relevant"
"Pleasure Ratings",NA,NA,"not_relevant"
"Elicitation Time",NA,NA,"not_relevant"
"Identification Time",NA,NA,"not_relevant"
"Identifiability",NA,NA,"not_relevant"
"Initial Learnability",NA,NA,"not_relevant"
"Overall Learnability",NA,NA,"not_relevant"
"Memorability",NA,NA,"not_relevant"
"Gesture Performance Time",NA,NA,"not_relevant"
"Gesture Recall Time",NA,NA,"not_relevant"
"η²ₚ","eta_squared","partial","yes"
"Average SUS",NA,NA,"not_relevant"
"StdDev SUS",NA,NA,"not_relevant"
"Score",NA,NA,"not_relevant"
"precision",NA,NA,"not_relevant"
"recall",NA,NA,"not_relevant"
"Nagelkerke's pseudo R^2",NA,NA,"no"
"Activation Time (ms)",NA,NA,"not_relevant"
"Completion Time (ms)",NA,NA,"not_relevant"
"Borg Scale",NA,NA,"not_relevant"
"Selection Time (ms)",NA,NA,"not_relevant"
"Success Rate (%)",NA,NA,"not_relevant"
"Top-Level Selection Time (ms)",NA,NA,"not_relevant"
"Second-Level Selection Time (ms)",NA,NA,"not_relevant"
"Precision (Train)",NA,NA,"not_relevant"
"Recall (Train)",NA,NA,"not_relevant"
"F1 (Train)",NA,NA,"not_relevant"
"Precision (Test)",NA,NA,"not_relevant"
"Recall (Test)",NA,NA,"not_relevant"
"F1 (Test)",NA,NA,"not_relevant"
"Thumb Idle",NA,NA,"not_relevant"
"Thumb Move",NA,NA,"not_relevant"
"Index Idle",NA,NA,"not_relevant"
"Index Move",NA,NA,"not_relevant"
"Middle Idle",NA,NA,"not_relevant"
"Middle Move",NA,NA,"not_relevant"
"partial η2","eta_squared","partial","yes"
"r (non-spatial layout)","pearsons_r","","yes"
"r (spatial layout)","pearsons_r","","yes"
"Constant",NA,NA,"not_relevant"
"Mean (SwapHQ)",NA,NA,"not_relevant"
"Mean (SwapLQ)",NA,NA,"not_relevant"
"Mean Difference (Eyes vs Mouth)",NA,NA,"not_relevant"
"Mean Difference (Eyes vs Nose)",NA,NA,"not_relevant"
"Mean (Real)",NA,NA,"not_relevant"
"Mean (Swap)",NA,NA,"not_relevant"
"Growth Ratio",NA,NA,"not_relevant"
"Weighted F1 Score",NA,NA,"not_relevant"
"Mean (Freehand)",NA,NA,"not_relevant"
"Mean (Armature)",NA,NA,"not_relevant"
"Mean (Patch)",NA,NA,"not_relevant"
"F-Statistic (F)",NA,NA,"not_relevant"
"ΔR²","r_squared","","maybe"
"Median Change",NA,NA,"not_relevant"
"Median Delete",NA,NA,"not_relevant"
"Median Insert",NA,NA,"not_relevant"
"Median Total",NA,NA,"not_relevant"
"CI",NA,NA,"not_relevant"
"Count of ideas",NA,NA,"not_relevant"
"β (Tenure)",NA,NA,"not_relevant"
"β (Posting Experience)",NA,NA,"not_relevant"
"β (Post Frequency)",NA,NA,"not_relevant"
"β (Seek IS)",NA,NA,"not_relevant"
"β (Seek ES)",NA,NA,"not_relevant"
"β (Receive IS)",NA,NA,"not_relevant"
"β (Receive ES)",NA,NA,"not_relevant"
"β (Seek IS x Receive IS)",NA,NA,"not_relevant"
"β (Seek IS x Receive ES)",NA,NA,"not_relevant"
"β (Seek ES x Receive IS)",NA,NA,"not_relevant"
"β (Seek ES x Receive ES)",NA,NA,"not_relevant"
"β (Tenure x Receive IS)",NA,NA,"not_relevant"
"β (Posting Experience x Receive IS)",NA,NA,"not_relevant"
"β (Tenure x Receive ES)",NA,NA,"not_relevant"
"β (Posting Experience x Receive ES)",NA,NA,"not_relevant"
"Rate of Pattern Exposure",NA,NA,"not_relevant"
"Rate of Active Pattern Exposure",NA,NA,"not_relevant"
"Rate of Pattern Acquisition",NA,NA,"not_relevant"
"Rate of Code Writing Transfer",NA,NA,"not_relevant"
"Rate of Actual Difficulty",NA,NA,"not_relevant"
"Correlation coefficient (r)","pearsons_r","","yes"
"Partial eta-squared (ηp²)","eta_squared","partial","yes"
"Bayes Factor (B01)",NA,NA,"not_relevant"
"Bayes Factor (BF10)",NA,NA,"not_relevant"
"Bayes Factor (BF+0)",NA,NA,"not_relevant"
"Bayes Factor",NA,NA,"not_relevant"
"Pillai Trace",NA,NA,"not_relevant"
"Wald-type statistic (WTS)",NA,NA,"not_relevant"
"ANOVA-type statistic (ATS)",NA,NA,"not_relevant"
"Relative Inertia",NA,NA,"not_relevant"
"Chi-Square Distance",NA,NA,"not_relevant"
"Sensitivity (Se)",NA,NA,"not_relevant"
"Specificity (Sp)",NA,NA,"not_relevant"
"Precision (Pr)",NA,NA,"not_relevant"
"Retention Rate",NA,NA,"not_relevant"
"Deviation",NA,NA,"not_relevant"
"Out-of-area proportion",NA,NA,"not_relevant"
"Velocity",NA,NA,"not_relevant"
"Correlation coefficient (adjusted R²)","r_squared","","yes"
"Willingness",NA,NA,"not_relevant"
"Convenience",NA,NA,"not_relevant"
"Convenience in daily use",NA,NA,"not_relevant"
"Willingness to use",NA,NA,"not_relevant"
"Time (seconds)",NA,NA,"not_relevant"
"β (Beta)",NA,NA,"not_relevant"
"χ² (Chi-Square)",NA,NA,"not_relevant"
"Moderate effect sizes observed",NA,NA,"not_relevant"
"Not specified",NA,NA,"not_relevant"
"Time reduction",NA,NA,"not_relevant"
"Average score for professional artists",NA,NA,"not_relevant"
"Average score for novice users",NA,NA,"not_relevant"
"Qualitative feedback",NA,NA,"not_relevant"
"% positive",NA,NA,"not_relevant"
"% preferred over Ours",NA,NA,"not_relevant"
"% preferred over Toric",NA,NA,"not_relevant"
"% preferred over Artist",NA,NA,"not_relevant"
"Time for Trend Estimation",NA,NA,"not_relevant"
"Accuracy for Extrema Estimation",NA,NA,"not_relevant"
"Time for Trend Detection",NA,NA,"not_relevant"
"SRMR",NA,NA,"not_relevant"
"KMO",NA,NA,"not_relevant"
"Bartlett's Test",NA,NA,"not_relevant"
"Cognitive Demand (B)",NA,NA,"not_relevant"
"Exertional Demand (B)",NA,NA,"not_relevant"
"Social Demand (B)",NA,NA,"not_relevant"
"Cognitive Demand (Emotional Effort) (B)",NA,NA,"not_relevant"
"TFI",NA,NA,"not_relevant"
"χ²(3)",NA,NA,"not_relevant"
"χ²(2)",NA,NA,"not_relevant"
"t(31)",NA,NA,"not_relevant"
"χ²(4)",NA,NA,"not_relevant"
"Median Readability Score (Top 15)",NA,NA,"not_relevant"
"Median Readability Score (Bottom 15)",NA,NA,"not_relevant"
"Frequency of Jargon Mention (English-speaking)",NA,NA,"not_relevant"
"Frequency of Jargon Mention (Chinese-speaking)",NA,NA,"not_relevant"
"Pearson's r (Length)","pearsons_r","","yes"
"Pearson's r (Jargon)","pearsons_r","","yes"
"Pearson's r (Sentence Structure)","pearsons_r","","yes"
"Pearson's r (Vocabulary)","pearsons_r","","yes"
"χ² (Length)",NA,NA,"not_relevant"
"χ² (Jargon)",NA,NA,"not_relevant"
"χ² (Sentence Structure)",NA,NA,"not_relevant"
"χ² (Vocabulary)",NA,NA,"not_relevant"
"Mean (Hard)",NA,NA,"not_relevant"
"Mean (Moderate)",NA,NA,"not_relevant"
"Mean (Easy)",NA,NA,"not_relevant"
"Unstandardized Indirect Effect Coefficient",NA,NA,"not_relevant"
"Equal Error Rate (EER)",NA,NA,"not_relevant"
"False Acceptance Rate (FAR)",NA,NA,"not_relevant"
"Percentage of workspaces",NA,NA,"not_relevant"
"Precision (Opportunity Identification)",NA,NA,"not_relevant"
"Recall (Opportunity Identification)",NA,NA,"not_relevant"
"F1-score (Opportunity Identification)",NA,NA,"not_relevant"
"Accuracy (Opportunity Identification)",NA,NA,"not_relevant"
"Precision (Signal Identification)",NA,NA,"not_relevant"
"Recall (Signal Identification)",NA,NA,"not_relevant"
"F1-score (Signal Identification)",NA,NA,"not_relevant"
"Accuracy (Signal Identification)",NA,NA,"not_relevant"
"F1-score",NA,NA,"not_relevant"
"True C1 - Predicted C1",NA,NA,"not_relevant"
"True C1 - Predicted C2",NA,NA,"not_relevant"
"True C1 - Predicted C3",NA,NA,"not_relevant"
"True C2 - Predicted C1",NA,NA,"not_relevant"
"True C2 - Predicted C2",NA,NA,"not_relevant"
"True C2 - Predicted C3",NA,NA,"not_relevant"
"True C3 - Predicted C1",NA,NA,"not_relevant"
"True C3 - Predicted C2",NA,NA,"not_relevant"
"True C3 - Predicted C3",NA,NA,"not_relevant"
"η² (Eta-squared)","eta_squared","","yes"
"F1-Score",NA,NA,"not_relevant"
"Mean (Teleport + vMirror)",NA,NA,"not_relevant"
"Standard Deviation (Teleport + vMirror)",NA,NA,"not_relevant"
"Mean (Teleport)",NA,NA,"not_relevant"
"Standard Deviation (Teleport)",NA,NA,"not_relevant"
"Mean SUS (Teleport + vMirror)",NA,NA,"not_relevant"
"Standard Deviation SUS (Teleport + vMirror)",NA,NA,"not_relevant"
"Mean SUS (Teleport)",NA,NA,"not_relevant"
"Standard Deviation SUS (Teleport)",NA,NA,"not_relevant"
"Mean SSQ (Teleport + vMirror)",NA,NA,"not_relevant"
"Standard Deviation SSQ (Teleport + vMirror)",NA,NA,"not_relevant"
"Mean SSQ (Teleport)",NA,NA,"not_relevant"
"Standard Deviation SSQ (Teleport)",NA,NA,"not_relevant"
"Mean Disorientation (Teleport + vMirror)",NA,NA,"not_relevant"
"Standard Deviation Disorientation (Teleport + vMirror)",NA,NA,"not_relevant"
"Mean Disorientation (Teleport)",NA,NA,"not_relevant"
"Standard Deviation Disorientation (Teleport)",NA,NA,"not_relevant"
"AW (45°)",NA,NA,"not_relevant"
"AD (45°)",NA,NA,"not_relevant"
"IDangular (45°)",NA,NA,"not_relevant"
"AW (90°)",NA,NA,"not_relevant"
"AD (90°)",NA,NA,"not_relevant"
"IDangular (90°)",NA,NA,"not_relevant"
"Elasticity",NA,NA,"not_relevant"
"Vibration Magnitude",NA,NA,"not_relevant"
"Magnetic Field Strength",NA,NA,"not_relevant"
"Degree of Fatigue",NA,NA,"not_relevant"
"SUS Score",NA,NA,"not_relevant"
"Functionality",NA,NA,"not_relevant"
"Flexibility",NA,NA,"not_relevant"
"System Usability",NA,NA,"not_relevant"
"User Input",NA,NA,"not_relevant"
"Degree of Functionality",NA,NA,"not_relevant"
"Ambiguity in Functioning",NA,NA,"not_relevant"
"Adequacy for Tasks",NA,NA,"not_relevant"
"Ideal Interaction with Virtual Environment",NA,NA,"not_relevant"
"Control over Operations",NA,NA,"not_relevant"
"Perception of Making Errors",NA,NA,"not_relevant"
"Flexibility in Performing Tasks",NA,NA,"not_relevant"
"Possibility to Take Shortcuts",NA,NA,"not_relevant"
"System Working Against User",NA,NA,"not_relevant"
"Comfort of Use for Long Periods",NA,NA,"not_relevant"
"Difficulty to Learn",NA,NA,"not_relevant"
"System Working as Expected",NA,NA,"not_relevant"
"Benefits in Man-Machine Interaction Style",NA,NA,"not_relevant"
"Difficulty to Work in 3D",NA,NA,"not_relevant"
"Enjoyment of Use",NA,NA,"not_relevant"
"RTE",NA,NA,"not_relevant"
"t-statistic",NA,NA,"not_relevant"
"Percentage Increase in Ad Value (Activity Strategy)",NA,NA,"not_relevant"
"Percentage Increase in Ad Value (Time Strategy)",NA,NA,"not_relevant"
"$\u03B7 _{p}^{2}$","pearsons_r","","yes"
"Quality Score Increase",NA,NA,"not_relevant"
"Effectiveness Score Increase",NA,NA,"not_relevant"
"Trust Score Increase",NA,NA,"not_relevant"
"Transparency Score Increase",NA,NA,"not_relevant"
"Awareness Score Increase",NA,NA,"not_relevant"
"Learning Score Increase",NA,NA,"not_relevant"
"Satisfaction Score Increase",NA,NA,"not_relevant"
"Control Score Increase",NA,NA,"not_relevant"
"Correlation Coefficient (rs)",NA,NA,"not_relevant"
"Coefficient (Self-reported class performance is avg or below)",NA,NA,"not_relevant"
"Coefficient (# of algo awareness Qs correct)",NA,NA,"not_relevant"
"Decrease in average retweet quality",NA,NA,"not_relevant"
"Effect on primary tweet quality",NA,NA,"not_relevant"
"Interaction effect on tweet quality",NA,NA,"not_relevant"
"Increase in partisan slant of retweets",NA,NA,"not_relevant"
"Effect on partisan slant of primary tweets",NA,NA,"not_relevant"
"Interaction effect on partisan slant",NA,NA,"not_relevant"
"Increase in language toxicity of retweets",NA,NA,"not_relevant"
"Effect on language toxicity of primary tweets",NA,NA,"not_relevant"
"Interaction effect on language toxicity",NA,NA,"not_relevant"
"Increase in number of retweets",NA,NA,"not_relevant"
"Increase in number of primary tweets",NA,NA,"not_relevant"
"Increase in number of retweets to rated sites",NA,NA,"not_relevant"
"Effect on number of primary tweets to rated sites",NA,NA,"not_relevant"
"mean (Static)",NA,NA,"not_relevant"
"mean (Frequency)",NA,NA,"not_relevant"
"mean (MCTS)",NA,NA,"not_relevant"
"Pearson r","pearsons_r","","yes"
"Spearman ρ","spearmans_rho","","yes"
"Difference in proportions",NA,NA,"not_relevant"
"Difference in proportions (grouped vs. randomized)",NA,NA,"not_relevant"
"Difference in proportions (hover vs. static)",NA,NA,"not_relevant"
"Difference in proportions (aligned vs. randomized)",NA,NA,"not_relevant"
"Fixed effect coefficient",NA,NA,"not_relevant"
"Variance",NA,NA,"not_relevant"
"Success Rate",NA,NA,"not_relevant"
"Mean Cognitive Load",NA,NA,"not_relevant"
"Speed (m/s)",NA,NA,"not_relevant"
"Horizontal Acceleration (m/s^2)",NA,NA,"not_relevant"
"Surface Realism",NA,NA,"not_relevant"
"Slider Realism",NA,NA,"not_relevant"
"Overall Comfort",NA,NA,"not_relevant"
"Experimenter Help",NA,NA,"not_relevant"
"Parent Help",NA,NA,"not_relevant"
